open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source
2021-12-29 01:00:00,3818.06,3826.85,3795.83,3801.37,8991.6126,2021-12-29 01:59:59.999,34275495.925998,19748.0,4880.7666,18607159.9741,binance
2021-12-29 02:00:00,3801.13,3819.99,3798.2,3818.14,8360.3711,2021-12-29 02:59:59.999,31883546.517363,16905.0,3903.4213,14884909.459354,binance
2021-12-29 03:00:00,3818.14,3827.78,3812.34,3816.15,7917.043,2021-12-29 03:59:59.999,30233773.464766,18942.0,3320.0659,12679051.07065,binance
2021-12-29 04:00:00,3816.15,3821.77,3800.76,3802.95,6874.8228,2021-12-29 04:59:59.999,26193538.125057,19374.0,2925.0994,11143607.759482,binance
2021-12-29 05:00:00,3802.94,3811.98,3789.45,3802.62,7196.5967,2021-12-29 05:59:59.999,27352720.434356,18207.0,3180.0881,12087803.955839,binance
2021-12-29 06:00:00,3802.62,3809.07,3792.11,3802.59,7944.0145,2021-12-29 06:59:59.999,30200200.036307,16281.0,2898.8438,11019887.037536,binance
2021-12-29 07:00:00,3802.59,3805.69,3786.52,3796.39,8129.1685,2021-12-29 07:59:59.999,30854176.706023,19349.0,4221.2772,16021123.555928,binance
2021-12-29 08:00:00,3796.39,3808.49,3785.1,3796.61,9733.8577,2021-12-29 08:59:59.999,36962097.720993,21949.0,4953.9701000000005,18815052.080634,binance
2021-12-29 09:00:00,3796.61,3825.5,3767.0,3814.54,15185.9336,2021-12-29 09:59:59.999,57549612.462611,36277.0,7351.1064,27866515.405502,binance
2021-12-29 10:00:00,3814.54,3821.96,3788.1,3793.44,8651.7308,2021-12-29 10:59:59.999,32936731.176105,21939.0,4015.3012,15290220.341642,binance
2021-12-29 11:00:00,3793.45,3798.69,3775.15,3790.96,6034.8681,2021-12-29 11:59:59.999,22850589.489565,18478.0,2686.7063,10172957.549284,binance
2021-12-29 12:00:00,3790.9,3792.11,3721.87,3727.86,30662.511,2021-12-29 12:59:59.999,114803720.70180699,71765.0,12689.7164,47503884.735749,binance
2021-12-29 13:00:00,3727.85,3767.29,3696.65,3756.64,25965.4386,2021-12-29 13:59:59.999,96648245.217838,61464.0,11385.1286,42417836.215179,binance
2021-12-29 14:00:00,3756.64,3791.59,3739.77,3782.14,19397.0281,2021-12-29 14:59:59.999,73097779.413367,41114.0,9701.5558,36568926.867701,binance
2021-12-29 15:00:00,3782.15,3802.7,3772.38,3795.05,16265.0349,2021-12-29 15:59:59.999,61624803.434669,31708.0,7642.4139,28954052.701478,binance
2021-12-29 16:00:00,3795.05,3799.32,3770.42,3784.34,7866.3086,2021-12-29 16:59:59.999,29762305.590688,21349.0,3652.6774,13820780.527531,binance
2021-12-29 17:00:00,3784.33,3784.76,3748.87,3754.46,7197.7953,2021-12-29 17:59:59.999,27112189.451683,19345.0,3406.1131,12829037.839773,binance
2021-12-29 18:00:00,3754.47,3777.03,3745.0,3753.65,9586.1162,2021-12-29 18:59:59.999,36057017.388026,20683.0,4395.92,16533290.496705,binance
2021-12-29 19:00:00,3753.65,3755.83,3712.84,3725.68,9801.4623,2021-12-29 19:59:59.999,36586123.123274,26369.0,4732.8865,17664203.298184,binance
2021-12-29 20:00:00,3725.69,3768.51,3718.07,3746.22,9488.2592,2021-12-29 20:59:59.999,35538953.759927,24097.0,4706.9848,17630120.065185,binance
2021-12-29 21:00:00,3746.22,3749.18,3706.0,3726.76,9026.1232,2021-12-29 21:59:59.999,33583497.275439,23786.0,4157.7425,15467497.41367,binance
2021-12-29 22:00:00,3726.75,3746.67,3710.01,3722.62,6308.9675,2021-12-29 22:59:59.999,23510876.903373,19479.0,3038.0543000000002,11322863.237325,binance
2021-12-29 23:00:00,3722.63,3735.1,3604.2,3630.19,45873.2667,2021-12-29 23:59:59.999,167406134.635488,106480.0,19573.083,71379269.792389,binance
2021-12-30 00:00:00,3630.18,3670.67,3585.0,3658.93,30944.543,2021-12-30 00:59:59.999,112214567.297103,69868.0,14709.4715,53389426.120053,binance
2021-12-30 01:00:00,3658.93,3668.53,3641.94,3650.58,9565.5926,2021-12-30 01:59:59.999,34960456.743148,24076.0,5204.4424,19020460.908539,binance
2021-12-30 02:00:00,3650.57,3653.0,3625.18,3650.42,11817.9866,2021-12-30 02:59:59.999,43001284.060489,24498.0,5508.5323,20043373.124242,binance
2021-12-30 03:00:00,3650.42,3664.78,3638.09,3649.41,9182.5743,2021-12-30 03:59:59.999,33539071.070752002,21447.0,4244.6545,15504675.557742,binance
2021-12-30 04:00:00,3649.4,3682.42,3648.37,3663.48,7775.8714,2021-12-30 04:59:59.999,28534146.708687,20313.0,3851.7468,14134087.452047,binance
2021-12-30 05:00:00,3663.1,3676.27,3646.3,3674.32,7763.6787,2021-12-30 05:59:59.999,28431678.386212,18808.0,4150.0962,15202596.770182,binance
2021-12-30 06:00:00,3674.32,3705.44,3667.32,3696.49,10423.7672,2021-12-30 06:59:59.999,38396649.288977,25825.0,5849.7719,21551517.690928,binance
2021-12-30 07:00:00,3696.55,3719.71,3684.87,3709.01,14342.496,2021-12-30 07:59:59.999,53178569.918463,28946.0,6966.4403,25824625.715485,binance
2021-12-30 08:00:00,3709.0,3726.71,3690.02,3691.8,10759.1118,2021-12-30 08:59:59.999,39893924.556893,24693.0,5745.5956,21308334.536768,binance
2021-12-30 09:00:00,3691.79,3707.44,3680.68,3684.55,8053.0721,2021-12-30 09:59:59.999,29764126.636933,20409.0,4305.6143,15913939.357932,binance
2021-12-30 10:00:00,3684.56,3702.54,3678.79,3699.27,6425.6872,2021-12-30 10:59:59.999,23723939.675831,19011.0,3666.5387,13538742.967538001,binance
2021-12-30 11:00:00,3699.0,3747.57,3689.95,3737.68,14818.8783,2021-12-30 11:59:59.999,55172551.002473,30874.0,7834.3166,29167309.633807,binance
2021-12-30 12:00:00,3737.68,3750.0,3728.31,3736.25,14741.117,2021-12-30 12:59:59.999,55147489.963679,27137.0,7809.683,29215331.989883,binance
2021-12-30 13:00:00,3736.25,3740.0,3716.52,3717.28,8501.0106,2021-12-30 13:59:59.999,31705756.093392,21943.0,4096.8518,15282470.249897,binance
2021-12-30 14:00:00,3717.29,3727.91,3701.03,3717.22,10241.373,2021-12-30 14:59:59.999,38030578.992708996,25175.0,5485.5262999999995,20368908.299266,binance
2021-12-30 15:00:00,3717.22,3729.73,3706.91,3708.74,8536.654,2021-12-30 15:59:59.999,31755677.588078998,19047.0,4061.3991,15108179.429273,binance
2021-12-30 16:00:00,3709.13,3762.08,3705.39,3756.8,12412.3054,2021-12-30 16:59:59.999,46432707.027783,25706.0,6599.407,24687356.169679,binance
2021-12-30 17:00:00,3756.81,3758.85,3736.66,3741.59,7067.9276,2021-12-30 17:59:59.999,26474716.621999,16451.0,3900.6992,14609591.588565,binance
2021-12-30 18:00:00,3741.6,3764.66,3729.16,3759.99,8296.0904,2021-12-30 18:59:59.999,31064950.656234,19375.0,3959.3382,14823590.557286,binance
2021-12-30 19:00:00,3759.99,3769.1,3747.41,3751.06,7182.0528,2021-12-30 19:59:59.999,26984276.53157,18885.0,3242.9476,12184119.525468,binance
2021-12-30 20:00:00,3751.06,3760.0,3712.07,3724.78,8265.9312,2021-12-30 20:59:59.999,30871947.952261,20944.0,3692.9404,13791300.362674,binance
2021-12-30 21:00:00,3724.46,3742.92,3707.66,3736.93,7095.4021999999995,2021-12-30 21:59:59.999,26453243.737993002,18074.0,3602.219,13433297.240328,binance
2021-12-30 22:00:00,3736.93,3737.71,3681.33,3703.83,6753.5304,2021-12-30 22:59:59.999,25055534.319381,23028.0,3184.4763,11815211.223794,binance
2021-12-30 23:00:00,3703.84,3717.26,3692.23,3709.27,8297.0767,2021-12-30 23:59:59.999,30749940.55584,18828.0,3768.2821,13965098.860997,binance
2021-12-31 00:00:00,3709.27,3734.0,3690.28,3700.6,12351.7336,2021-12-31 00:59:59.999,45812137.121505,27765.0,4824.8519,17903360.211981,binance
